"ng-binding","ng-binding 2","ng-binding href","ng-binding src","ng-scope src","ng-scope","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-scope src 2","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-scope src 3","ng-binding 11","ng-scope src 4","ng-scope src 5","ng-scope src 6","ng-scope src 7"
"11","漢普夏豬","https://pigfarmmix.net/#/pig/11","https://pigfarmmix.net/png_h/248df0d004e30e9ef16ab3b9598d5be744fae1dfba45e5fae614dba25aee20fe20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","2","60 分鐘","1 小時","3 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁1#5]","≤ 124.8 kg","≥ 168.4 kg","1000 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"12","巴克夏豬","https://pigfarmmix.net/#/pig/12","https://pigfarmmix.net/png_h/0d799c15073e9786306cdd0ff1d64379b11f105edc50b363ea537cd57565091f20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","3","120 分鐘","2 小時","16 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁1#6]","≤ 125.7 kg","≥ 139.6 kg","1500 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","3.48%","","","",""
"13","黑豬","https://pigfarmmix.net/#/pig/13","https://pigfarmmix.net/png_h/6aa4bb941a3bd9b8bb9f1d0d580ff15d1da0b8b3bb5c59df6158a7dad0a0400a20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","6","120 分鐘","2 小時","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁2#1]","≤ 128.4 kg","≥ 151.6 kg","5000 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"14","大約克夏豬/(美國)","https://pigfarmmix.net/#/pig/14","https://pigfarmmix.net/png_h/ba7dab79d1e3387e404c892209abb234ffe5ccde6b29cc8c2cc0dc303325342120251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","4 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁1#2]","≤ 123.9 kg","≥ 160.6 kg","1000 pt","","3.48%","","","",""
"15","大約克夏豬/(英國)","https://pigfarmmix.net/#/pig/15","https://pigfarmmix.net/png_h/192aeb5d8f12b78be346edd5eb19db1f9d6fbd1f01f262711879410b2c4a6abd20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","4 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁1#3]","≤ 123.9 kg","≥ 160.6 kg","1000 pt","","3.48%","","","",""
"16","草本豬","https://pigfarmmix.net/#/pig/16","https://pigfarmmix.net/png_h/469e5cda649bf068e2a127bc9b18d8191e04b48ab9cad2df7fcb123ccf71dc8720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","3","60 分鐘","1 小時","8 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁1#2]","≤ 127.1 kg","≥ 155.8 kg","2000 pt","https://pigfarmmix.net/png_h/ae37f6e04cdc1a9c13b5d505e598173fcce41b6af8074c98d775c0f1c6b04d6c20251013.png","3.48%","","","",""
"17","撲滿","https://pigfarmmix.net/#/pig/17","https://pigfarmmix.net/png_h/e2c85898e245dba8c128717116a446641afb889f9eb246d3ca728185889c022820251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","3","120 分鐘","2 小時","16 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁1#3]","≤ 132.2 kg","≥ 164.8 kg","2000 pt","https://pigfarmmix.net/png_h/1a4d96e5f723848dfbd2bbb08fd82f6579c3850dcc352a2b9ee260764acd522320251013.png","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"18","金華豬","https://pigfarmmix.net/#/pig/18","https://pigfarmmix.net/png_h/93c4e774802d4412b814c4fd929c416d810ab50b66688184ff81a0198a8f7b2420251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","4","60 分鐘","1 小時","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁2#2]","≤ 128.5 kg","≥ 172.3 kg","3000 pt","https://pigfarmmix.net/png_h/a8c431ef04e348d579dbea87991cab0dadc22df86edf1920a8c8e76335bd820c20251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"19","下顎突豬","https://pigfarmmix.net/#/pig/19","https://pigfarmmix.net/png_h/37d9d0cd99ac4b07d6c835b849ebc98d1904ef4eb5793ae13cda226f235d296220251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","8","60 分鐘","1 小時","16 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁1#3]","≤ 130.2 kg","≥ 162.9 kg","3000 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"20","無法違抗重力","https://pigfarmmix.net/#/pig/20","https://pigfarmmix.net/png_h/abc418b59579c17e41b9b660868a952666ad31c79337e903f335059f2cd399a620251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","4","120 分鐘","2 小時","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁2#3]","≤ 126.6 kg","≥ 151.6 kg","2500 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","2.67%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"21","豬八戒","https://pigfarmmix.net/#/pig/21","https://pigfarmmix.net/png_h/e18cb5c28c3e4f76d3887b4644c956c0f21c6599440b5e09949fc8a4ddf2368920251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","6","60 分鐘","1 小時","12 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁1#3]","≤ 132.4 kg","≥ 189.1 kg","4000 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"22","牧羊豬","https://pigfarmmix.net/#/pig/22","https://pigfarmmix.net/png_h/45be0a4e34d47892bb07c0e94d98b36b843bbeaca59d3d704a396abc922b918b20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","60 分鐘","1 小時","4 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁1#4]","≤ 123.9 kg","≥ 169.1 kg","2500 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"23","紅豬","https://pigfarmmix.net/#/pig/23","https://pigfarmmix.net/png_h/a287ff278afe4e0d59989fef3865a2f5b6a713adb010913ab18bb1ae1860f10620251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","3","120 分鐘","2 小時","16 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁1#4]","≤ 129.7 kg","≥ 164.8 kg","1500 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"24","東京Z","https://pigfarmmix.net/#/pig/24","https://pigfarmmix.net/png_h/b76dd6423e4f19e4b92d000ee506e192ecfb55dea0f0c2865acb20381cc2596e20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","2","60 分鐘","1 小時","8 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁1#4]","≤ 125.7 kg","≥ 163.6 kg","2000 pt","https://pigfarmmix.net/png_h/a8c431ef04e348d579dbea87991cab0dadc22df86edf1920a8c8e76335bd820c20251013.png","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"25","東京Y","https://pigfarmmix.net/#/pig/25","https://pigfarmmix.net/png_h/d9155541058fa73b0c6fef5ca787863a3c2a4d2797cefab4113a836241fb6e5b20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","2","60 分鐘","1 小時","8 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁1#5]","≤ 125.7 kg","≥ 163.6 kg","2000 pt","https://pigfarmmix.net/png_h/a8c431ef04e348d579dbea87991cab0dadc22df86edf1920a8c8e76335bd820c20251013.png","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"26","長子","https://pigfarmmix.net/#/pig/26","https://pigfarmmix.net/png_h/47bdf33da991dd89cfb68e3ac54f6178e47f589bd6d61c93d562d1bafd2b447b20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","4 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁1#4]","≤ 123.9 kg","≥ 160.6 kg","1500 pt","","3.48%","","","",""
"27","次子","https://pigfarmmix.net/#/pig/27","https://pigfarmmix.net/png_h/6baa29bb91f9ff9936fb3f49ead477639c513e9c94e4f21f7bce9e89c88e0cf220251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","4 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁1#5]","≤ 123.9 kg","≥ 160.6 kg","1500 pt","","3.48%","","","",""
"28","末子","https://pigfarmmix.net/#/pig/28","https://pigfarmmix.net/png_h/b2e720bc8ef37b6481c6557ba95954ba10b1a571673c1a421f288551a43b3a1c20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","2","60 分鐘","1 小時","8 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁1#6]","≤ 124.8 kg","≥ 180.7 kg","2000 pt","","2.67%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"29","野豬","https://pigfarmmix.net/#/pig/29","https://pigfarmmix.net/png_h/1a3e1a376cbca82bd2dd2e205fa406ffe0c340b0a3ebf0991d33297a61de2aa020251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","0","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/811992418c93eac5c6722e48989ba638bc739f8c763e8aa6fccb0cdb69e091ae20251013.png","野豬 [圖鑑6 頁1#1]","≤ 127.9 kg","≥ 192.5 kg","3000 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"30","瑪格麗特豬","https://pigfarmmix.net/#/pig/30","https://pigfarmmix.net/png_h/6a4eb80c55b43da9bb084ddb49a598170d64c8100a53051a3055bfeb0fd24b6020251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","10","60 分鐘","1 小時","40 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁1#6]","≤ 137.0 kg","≥ 203.1 kg","10000 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"31","金撲滿","https://pigfarmmix.net/#/pig/31","https://pigfarmmix.net/png_h/2a8addf08bffeeae12ca37f4cb72a42b5b5af7918a925dc4f394cb3baab1915a20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","3","120 分鐘","2 小時","12 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁1#5]","≤ 132.7 kg","≥ 165.6 kg","7000 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"32","斑點豬","https://pigfarmmix.net/#/pig/32","https://pigfarmmix.net/png_h/d9c7727123da70905230bd145bb4fd3899ebf2c963f0f38b3c9ddd4364ef9de320251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","8 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁1#6]","≤ 123.9 kg","≥ 171.9 kg","2500 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"33","某隻琉球豬","https://pigfarmmix.net/#/pig/33","https://pigfarmmix.net/png_h/a328f26a00142a88d1e4503b5b4afd8e4f15930502b0d8a661102ab1388d102c20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","5","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁2#4]","≤ 131.5 kg","≥ 180.7 kg","5000 pt","https://pigfarmmix.net/png_h/8634aa677090b5bfca798d786e8ef2e14d04de87c2335c7e4a7052c45d83ddd120251013.png","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
